content_id,client_id,baseline_score,baseline_action,baseline_reason_code,avg_position,days_since_last_update,ctr,word_count,impressions_90d
content_958a46db26bd,client_d029fa3a95,85,rewrite metadata,LOW_CTR_ON_PAGE_1,6.7,183,0.0,4074.0,198
content_3a93f78aa0a5,client_d029fa3a95,85,refresh,STRIKING_STALE_CONTENT,13.1,183,0.0,4629.0,79
content_11da248ff221,client_d029fa3a95,85,refresh,STRIKING_STALE_CONTENT,11.4,183,0.0,3915.0,52
content_0af51f20a3da,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,8.4,183,0.0,4530.0,48
content_d3746a58bb1d,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,12.5,183,0.0,3781.0,25
content_f783292bc4a0,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,4.2,211,0.0,931.0,6
content_164eee6bf9c1,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,5.8,183,0.0,3304.0,20
content_107776820988,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,5.2,211,0.0,745.0,5
content_3c770ef0121a,client_d029fa3a95,85,rewrite metadata,LOW_CTR_ON_PAGE_1,6.9,183,0.75,3693.0,268
content_0a91db491d14,client_7f2253d7e2,85,refresh,STRIKING_STALE_CONTENT,10.5,193,0.49,3478.0,13299
content_72496874f806,client_4ec9599fc2,85,rewrite metadata,LOW_CTR_ON_PAGE_1,5.8,301,0.24,1504.0,821
content_17aa56bdad68,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,4.0,211,0.0,781.0,2
content_8f2c815af658,client_d59eced1de,85,prune,LOW_IMPRESSIONS_OLD_PAGE,6.4,301,0.0,1598.0,7
content_ab27c30d81f4,client_4ec9599fc2,85,rewrite metadata,LOW_CTR_ON_PAGE_1,8.9,304,0.0,1094.0,103
content_9106162c6861,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,12.5,183,0.0,4150.0,35
content_b57917487e5a,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,7.6,183,0.0,3520.0,40
content_fe16a55cd13d,client_7f2253d7e2,85,refresh,STRIKING_STALE_CONTENT,16.4,194,0.33,3388.0,4556
content_55a5b1c46474,client_4ec9599fc2,85,prune,LOW_IMPRESSIONS_OLD_PAGE,7.5,373,0.0,,35
content_56d7248c0b43,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,12.8,183,0.0,4658.0,48
content_3ecbb0944cbf,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,12.2,183,0.0,3842.0,40
content_fc8cb7532683,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,14.4,183,0.0,3913.0,15
content_4f241bad48a3,client_6208ef0f77,85,refresh,STRIKING_STALE_CONTENT,19.1,236,0.0,6140.0,285
content_7f116ae1f6f5,client_9400f1b21c,85,rewrite metadata,LOW_CTR_ON_PAGE_1,9.0,301,0.42,1335.0,954
content_cd27391ecd03,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,7.1,183,0.0,4086.0,30
content_77d4d5930e5e,client_7f2253d7e2,85,refresh,STRIKING_STALE_CONTENT,18.6,194,0.24,4020.0,828
content_691fc6b910e6,client_6208ef0f77,85,refresh,STRIKING_STALE_CONTENT,17.7,236,0.0,6426.0,56
content_ea41fe5cf292,client_d029fa3a95,85,rewrite metadata,LOW_CTR_ON_PAGE_1,8.0,183,0.0,4369.0,265
content_573248f65db2,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,6.0,211,0.0,762.0,1
content_6557f2b648e8,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,9.2,183,0.0,3717.0,18
content_10b9f5f766b4,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,5.7,211,0.0,745.0,15
content_928af3e22c80,client_7f2253d7e2,85,refresh,STRIKING_STALE_CONTENT,15.8,193,0.12,3118.0,1697
content_9b7a283bd1c9,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,6.6,183,0.0,4657.0,44
content_4611bb5c7228,client_8527a891e2,75,rewrite metadata,LOW_CTR_ON_PAGE_1,6.1,104,0.07,3466.0,11198
content_1e875a716604,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,4.6,104,0.07,,2702
content_136ad3ae062b,client_6208ef0f77,75,refresh,STRIKING_STALE_CONTENT,19.6,104,0.0,5176.0,1264
content_e4856f695da4,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,3.8,104,0.17,,2910
content_a834165444e6,client_3fdba35f04,75,rewrite metadata,LOW_CTR_ON_PAGE_1,6.3,104,0.0,1457.0,112
content_71b773ffcf59,client_4ec9599fc2,75,rewrite metadata,LOW_CTR_ON_PAGE_1,7.9,104,0.97,,103
content_fe7d09bb8da0,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,7.9,104,0.04,,4798
content_a4a6f6b82ae9,client_3fdba35f04,75,refresh,STRIKING_STALE_CONTENT,10.1,104,0.17,1560.0,2860
content_448ca4ed2f9a,client_6208ef0f77,75,rewrite metadata,LOW_CTR_ON_PAGE_1,3.6,104,0.0,4643.0,1464
